model,threshold,precision,recall,f1,tp,fp,fn,tn
nomic-embed-text_latest,0.71,0.9453,0.9923,0.9683,2456,142,19,1858
nomic-embed-text_latest,0.72,0.9566,0.9887,0.9724,2447,111,28,1889
nomic-embed-text_latest,0.73,0.9651,0.9834,0.9742,2434,88,41,1912
nomic-embed-text_latest,0.74,0.9707,0.9762,0.9734,2416,73,59,1927
nomic-embed-text_latest,0.75,0.9743,0.9657,0.97,2390,63,85,1937
nomic-embed-text_latest,0.76,0.9792,0.9531,0.966,2359,50,116,1950
nomic-embed-text_latest,0.77,0.9823,0.9394,0.9603,2325,42,150,1958
nomic-embed-text_latest,0.78,0.9845,0.9265,0.9546,2293,36,182,1964
nomic-embed-text_latest,0.79,0.9876,0.9026,0.9432,2234,28,241,1972
nomic-embed-text_latest,0.8,0.9896,0.882,0.9327,2183,23,292,1977
nomic-embed-text_latest,0.81,0.9915,0.8529,0.917,2111,18,364,1982
nomic-embed-text_latest,0.82,0.9927,0.8194,0.8977,2028,15,447,1985
nomic-embed-text_latest,0.83,0.9933,0.7774,0.8722,1924,13,551,1987
nomic-embed-text_latest,0.84,0.995,0.7297,0.842,1806,9,669,1991
nomic-embed-text_latest,0.85,0.9953,0.6788,0.8071,1680,8,795,1992
nomic-embed-text_latest,0.86,0.9954,0.6174,0.7621,1528,7,947,1993
nomic-embed-text_latest,0.87,0.9956,0.5483,0.7071,1357,6,1118,1994
nomic-embed-text_latest,0.88,0.9975,0.4816,0.6496,1192,3,1283,1997
nomic-embed-text_latest,0.89,0.9981,0.4149,0.5862,1027,2,1448,1998
nomic-embed-text_latest,0.9,0.9989,0.3576,0.5266,885,1,1590,1999
nomic-embed-text_latest,0.91,0.9985,0.276,0.4324,683,1,1792,1999
nomic-embed-text_latest,0.92,0.9981,0.2093,0.346,518,1,1957,1999
nomic-embed-text_latest,0.93,0.9973,0.1503,0.2612,372,1,2103,1999
nomic-embed-text_latest,0.94,0.996,0.1014,0.1841,251,1,2224,1999
nomic-embed-text_latest,0.95,0.9931,0.0578,0.1092,143,1,2332,1999
nomic-embed-text_latest,0.96,0.9844,0.0255,0.0496,63,1,2412,1999
nomic-embed-text_latest,0.97,0.9444,0.0069,0.0136,17,1,2458,1999
nomic-embed-text_latest,0.98,0.5,0.0004,0.0008,1,1,2474,1999
nomic-embed-text_latest,0.99,0.0,0.0,0.0,0,1,2475,1999
qwen3-embedding_latest,0.5,0.6852,1.0,0.8132,2475,1137,0,863
qwen3-embedding_latest,0.51,0.7067,1.0,0.8282,2475,1027,0,973
qwen3-embedding_latest,0.52,0.7271,1.0,0.842,2475,929,0,1071
qwen3-embedding_latest,0.53,0.7457,1.0,0.8543,2475,844,0,1156
qwen3-embedding_latest,0.54,0.7648,1.0,0.8667,2475,761,0,1239
qwen3-embedding_latest,0.55,0.7872,1.0,0.8809,2475,669,0,1331
qwen3-embedding_latest,0.56,0.8099,1.0,0.895,2475,581,0,1419
qwen3-embedding_latest,0.57,0.8272,1.0,0.9054,2475,517,0,1483
qwen3-embedding_latest,0.58,0.8447,1.0,0.9158,2475,455,0,1545
qwen3-embedding_latest,0.59,0.8654,1.0,0.9278,2475,385,0,1615
