model,threshold,precision,recall,f1,tp,fp,fn,tn
nomic-embed-text_latest,0.78,0.9922,0.9244,0.9571,2288,18,187,1982
nomic-embed-text_latest,0.79,0.9933,0.8994,0.944,2226,15,249,1985
nomic-embed-text_latest,0.8,0.9941,0.88,0.9336,2178,13,297,1987
nomic-embed-text_latest,0.81,0.9948,0.8493,0.9163,2102,11,373,1989
nomic-embed-text_latest,0.82,0.9956,0.8166,0.8972,2021,9,454,1991
nomic-embed-text_latest,0.83,0.9963,0.7717,0.8698,1910,7,565,1993
nomic-embed-text_latest,0.84,0.9978,0.7277,0.8416,1801,4,674,1996
nomic-embed-text_latest,0.85,0.9994,0.6743,0.8053,1669,1,806,1999
nomic-embed-text_latest,0.86,0.9993,0.617,0.7629,1527,1,948,1999
nomic-embed-text_latest,0.87,0.9993,0.5519,0.7111,1366,1,1109,1999
nomic-embed-text_latest,0.88,1.0,0.4853,0.6534,1201,0,1274,2000
nomic-embed-text_latest,0.89,1.0,0.419,0.5905,1037,0,1438,2000
nomic-embed-text_latest,0.9,1.0,0.3568,0.5259,883,0,1592,2000
nomic-embed-text_latest,0.91,1.0,0.2743,0.4306,679,0,1796,2000
nomic-embed-text_latest,0.92,1.0,0.2085,0.345,516,0,1959,2000
nomic-embed-text_latest,0.93,1.0,0.1483,0.2583,367,0,2108,2000
nomic-embed-text_latest,0.94,1.0,0.1014,0.1842,251,0,2224,2000
nomic-embed-text_latest,0.95,1.0,0.059,0.1114,146,0,2329,2000
nomic-embed-text_latest,0.96,1.0,0.0267,0.0519,66,0,2409,2000
nomic-embed-text_latest,0.97,1.0,0.0069,0.0136,17,0,2458,2000
nomic-embed-text_latest,0.98,1.0,0.0004,0.0008,1,0,2474,2000
nomic-embed-text_latest,0.99,0.0,0.0,0.0,0,0,2475,2000
qwen3-embedding_latest,0.5,0.64,1.0,0.7805,2475,1392,0,608
qwen3-embedding_latest,0.51,0.6598,1.0,0.7951,2475,1276,0,724
qwen3-embedding_latest,0.52,0.6766,1.0,0.8071,2475,1183,0,817
qwen3-embedding_latest,0.53,0.6972,1.0,0.8216,2475,1075,0,925
